25C-L8R0-RC-withoutH9,,
Time (min),Intensity (a.u.),
6.047208786,309.1506042,
6.063875198,310.9474487,
6.080542088,309.1925049,
6.0972085,310.4631348,
6.113875389,312.2373047,
6.130541801,309.4981689,
6.147208691,311.0983582,
6.163875103,304.286438,
6.180541992,306.5013123,
6.197208881,309.3143616,
6.213875294,306.7022705,
6.230542183,311.430481,
6.247208595,307.9135742,
6.263875484,308.3867188,
6.280541897,309.5469666,
6.297208786,307.6639099,
6.313875198,308.1112976,
6.330542088,307.5278625,
6.3472085,313.3447876,
6.363875389,308.9862061,
6.380541801,312.2486572,
6.397208691,306.0330505,
6.413875103,310.6524658,
6.430541992,314.5486145,
6.447208881,311.8746033,
6.463875294,310.575592,
6.480542183,307.914032,
6.497208595,308.0239563,
6.513875484,313.3681946,
6.530541897,309.5280151,
6.547208786,315.0037842,
6.563875198,310.678833,
6.580542088,313.8669434,
6.5972085,309.4717712,
6.613875389,312.4447937,
6.630541801,312.2261047,
6.647208691,307.4697571,
6.663875103,309.6072083,
6.680541992,307.9870911,
6.697208881,313.7904663,
6.713875294,311.6490173,
6.730542183,313.092041,
6.747208595,309.5372314,
6.763875484,312.5305176,
6.780541897,308.1165161,
6.797208786,313.8181152,
6.813875198,311.867981,
6.830542088,309.0577393,
6.8472085,313.296875,
6.863875389,312.9215088,
6.880541801,312.2507019,
6.897208691,308.5317688,
6.913875103,312.9116516,
6.930541992,310.0162354,
6.947208881,312.46875,
6.963875294,313.2518311,
6.980542183,313.6927795,
6.997208595,310.8468018,
7.013875484,312.1105042,
7.030541897,309.0592041,
7.047208786,310.7752991,
7.063875198,314.5444641,
7.080542088,312.5097656,
7.0972085,311.5735168,
7.113875389,314.5834961,
7.130541801,313.3564453,
7.147208691,306.2472534,
7.163875103,311.3542175,
7.180541992,310.0210266,
7.197208881,309.2543335,
7.213875294,315.625824,
7.230542183,310.1538086,
7.247208595,311.0439453,
7.263875484,313.0751343,
7.280541897,311.6253052,
7.297208786,310.7355957,
7.313875198,314.4519958,
7.330542088,314.1280823,
7.3472085,308.547699,
7.363875389,312.7669067,
7.380541801,314.2760925,
7.397208691,311.7181091,
7.413875103,314.0198364,
7.430541992,312.7763977,
7.447208881,315.7954712,
7.463875294,313.8424377,
7.480542183,311.2359619,
7.497208595,311.1079712,
7.513875484,310.5098267,
7.530541897,315.2895203,
7.547208786,308.9916687,
7.563875198,312.6966248,
7.580542088,309.8398132,
7.5972085,311.5168152,
7.613875389,310.390564,
7.630541801,313.2887573,
7.647208691,312.783844,
7.663875103,313.9945374,
7.680541992,310.9899597,
7.697208881,311.0689392,
7.713875294,310.5522156,
7.730542183,314.7601318,
7.747208595,311.455658,
7.763875484,312.4259644,
7.780541897,313.2603149,
7.797208786,311.194458,
7.813875198,312.2835083,
7.830542088,308.0614929,
7.8472085,310.8738708,
7.863875389,314.4286499,
7.880541801,309.8269958,
7.897208691,314.5335693,
7.913875103,310.1812134,
7.930541992,309.3458557,
7.947208881,312.2139282,
7.963875294,309.1914673,
7.980542183,312.9777222,
7.997208595,314.4940796,
8.013875008,314.1450195,
8.030542374,313.3281555,
8.047208786,311.359375,
8.063875198,313.5040894,
8.080541611,311.1499634,
8.097208977,317.3417969,
8.113875389,313.2936096,
8.130541801,309.6607971,
8.147208214,314.7590027,
8.16387558,313.2598877,
8.180541992,313.053009,
8.197208405,313.5967407,
8.213875771,315.7618408,
8.230542183,311.8470764,
8.247208595,310.7059631,
8.263875008,313.2033691,
8.280542374,312.0918884,
8.297208786,311.5202332,
8.313875198,314.2978516,
8.330541611,308.0463562,
8.347208977,313.7038269,
8.363875389,312.2026672,
8.380541801,311.6091919,
8.397208214,311.8388367,
8.41387558,314.2535706,
8.430541992,314.1535034,
8.447208405,313.1212463,
8.463875771,309.3896484,
