25C-L8R0,,
Time (min),Intensity (a.u.),
2.866666555,19.89721489,
2.883333445,19.61397362,
2.900000095,21.32077217,
2.916666746,21.16866684,
2.933333397,20.46250725,
2.950000048,20.66208458,
2.966666698,21.45472336,
2.983333349,20.73297501,
3,20.93073082,
3.016666651,21.09283447,
3.033333302,21.30790329,
3.049999952,21.32030296,
3.066666603,21.04349709,
3.083333254,22.03131294,
3.099999905,23.0573616,
3.116666555,21.83376122,
3.133333445,22.03357124,
3.150000095,21.15902901,
3.166666746,22.80373764,
3.183333397,22.57512474,
3.200000048,22.18283081,
3.216666698,23.06028938,
3.233333349,22.21893501,
3.25,22.40305901,
3.266666651,22.96829605,
3.283333302,23.02435684,
3.299999952,23.59199333,
3.316666603,22.39329529,
3.333333254,24.28664017,
3.349999905,23.1843853,
3.366666555,23.92780113,
3.383333445,23.26574135,
3.400000095,24.48121262,
3.416666746,24.23406219,
3.433333397,24.28780746,
3.450000048,25.18990326,
3.466666698,24.13873482,
3.483333349,25.88791466,
3.5,25.75366974,
3.516666651,24.9274807,
3.533333302,25.61928177,
3.549999952,25.7314415,
3.566666603,26.00904465,
3.583333254,24.82368469,
3.599999905,26.47639275,
3.616666555,26.35764503,
3.633333445,26.0266819,
3.650000095,26.38693619,
3.666666746,26.19376945,
3.683333397,27.36362839,
3.700000048,26.35945702,
4.233520985,152.0888367,
4.250187397,164.695816,
4.266853809,166.8087463,
4.283520699,174.7513123,
4.300187111,181.5545502,
4.316854,191.2401733,
4.333520412,193.9774933,
4.350187302,197.6046906,
4.366853714,206.8631287,
4.383520603,209.2145691,
4.400187016,215.0894775,
4.416853905,221.7566681,
4.433520317,225.9869843,
4.450187206,229.3375702,
4.466853619,234.8146515,
4.483520508,230.2658386,
4.500187397,238.3786011,
4.516853809,242.9879303,
4.533520699,247.3944092,
4.550187111,248.2905884,
4.566854,253.7801819,
4.583520412,255.2797241,
4.600187302,258.0925903,
4.616853714,257.52771,
4.633520603,262.9768066,
4.650187016,264.9735718,
4.666853905,263.9307861,
4.683520317,267.1554871,
4.700187206,269.3182678,
4.716853619,270.2966003,
4.733520508,270.6085815,
4.750187397,274.8814087,
4.766853809,275.749939,
4.783520699,279.609375,
4.800187111,279.3553162,
4.816854,281.1277161,
4.833520412,283.4906921,
4.850187302,285.2809143,
4.866853714,284.5410461,
4.883520603,286.0588989,
4.900187016,287.0823059,
4.916853905,290.0888977,
4.933520317,287.4457092,
4.950187206,289.6983948,
4.966853619,291.4283447,
4.983520508,295.9957275,
5.000187397,291.0711975,
5.016853809,292.1699524,
5.033520699,294.9053955,
5.050187111,293.5640259,
5.066854,295.3439636,
5.083520412,297.3819275,
