25C-L8R0,,
Time (min),Intensity (a.u.),
63.14622879,13.97315121,
63.1628952,14.46386719,
63.17956161,14.44835186,
63.19622803,13.4505167,
63.21289444,14.24170494,
63.22956085,14.63564205,
63.24622726,12.79091263,
63.26289368,13.91567421,
63.27956009,14.06004715,
63.2962265,14.62092209,
63.31289291,14.00696182,
63.32956314,14.22216797,
63.34622955,12.76675129,
63.36289597,13.24653149,
63.37956238,14.33852005,
63.39622879,13.84850025,
63.4128952,14.16938019,
63.42956161,13.62069988,
63.44622803,13.70030689,
63.46289444,13.68075275,
63.47956085,13.62129784,
63.49622726,13.67756653,
63.51289368,13.49175739,
63.52956009,13.89085388,
63.5462265,13.16786766,
63.56289291,13.96833801,
63.57956314,13.39790058,
63.59622955,13.68282223,
63.61289597,13.00741673,
63.62956238,13.69894314,
63.64622879,13.25901604,
63.6628952,13.4293251,
63.67956161,12.82578659,
63.69622803,13.01964283,
63.71289444,13.04245186,
63.72956085,13.18941021,
63.74622726,12.50230503,
63.76289368,12.98214722,
63.77956009,12.88141823,
63.7962265,13.1783762,
63.81289291,12.57714367,
63.82956314,12.99452782,
63.84622955,12.82051277,
63.86289597,11.77307415,
63.87956238,12.18610573,
63.89622879,12.62768459,
63.9128952,13.10270882,
63.92956161,12.49931431,
63.94622803,13.44525623,
63.96289444,12.67838955,
63.97956085,12.27705956,
63.99622726,12.24097252,
64.01289368,12.69324493,
64.0295639,12.70895672,
64.0462265,13.03505039,
64.06289673,12.4332056,
64.07955933,12.93275452,
64.09622955,12.50216484,
64.11289215,12.21359444,
64.12956238,12.37904167,
64.14622498,11.84641075,
64.1628952,11.55635548,
64.1795578,11.44475269,
64.19622803,12.21062088,
64.21289825,11.59175968,
64.22956085,11.89406776,
64.77068329,22.78840256,
64.78735352,23.74956512,
64.80402374,24.00021935,
64.82068634,23.44481087,
64.83735657,23.92256546,
64.85401917,23.15322685,
64.87068939,23.85900497,
64.88735199,23.872715,
64.90402222,24.42702293,
64.92068481,23.35458374,
64.93735504,24.69592476,
64.95401764,23.88198662,
64.97068787,25.14227104,
64.98735046,24.71014023,
65.00402069,25.57139206,
65.02068329,24.71453476,
65.03735352,25.84682846,
65.05402374,26.20069504,
65.07068634,26.31686974,
65.08735657,26.29931068,
65.10401917,26.36610031,
65.12068939,25.24269104,
65.13735199,26.33637428,
65.15402222,26.39270973,
65.17068481,26.53835487,
65.18735504,26.88474274,
65.20401764,26.80917931,
65.22068787,28.29385567,
65.23735046,26.70563507,
65.25402069,27.77688599,
65.27068329,27.93886566,
65.28735352,28.05026054,
65.30402374,28.18481255,
65.32068634,27.37896347,
65.33735657,27.67980766,
65.35401917,29.20076752,
65.37068939,29.13867188,
65.38735199,28.76288795,
65.40402222,27.82208252,
65.42068481,28.68734169,
65.43735504,29.68173409,
65.45401764,28.92511368,
65.47068787,29.75235939,
65.48735046,27.9717083,
65.50402069,28.54683495,
65.52068329,29.40911293,
65.53735352,30.21339417,
65.55402374,30.12286949,
65.57068634,30.28439713,
65.58735657,29.94629097,
65.60401917,30.43078995,
65.62068939,29.39682961,
65.63735199,30.43185806,
65.65402222,29.93222427,
65.67068481,29.91110039,
65.68735504,30.76495361,
65.70401764,31.898983,
65.72068787,30.53202438,
65.73735046,31.67673492,
65.75402069,29.80405235,
65.77068329,30.67840385,
65.78735352,31.62447357,
65.80402374,31.86289978,
65.82068634,30.80199814,
65.83735657,31.30077934,
65.85401917,32.46113586,
65.87068939,31.24755859,
65.88735199,31.55469513,
65.90402222,32.14812469,
65.92068481,32.30484009,
65.93735504,32.14987183,
65.95401764,32.16901016,
65.97068787,32.18787003,
65.98735046,32.34698105,
66.00402069,32.27668762,
66.02068329,31.82150841,
66.03735352,32.44858932,
66.05402374,32.59335709,
66.07068634,33.05302048,
66.08735657,32.90490723,
66.10401917,32.81011581,
66.12068939,34.07085037,
66.13735199,34.05316544,
66.15402222,32.92817688,
66.17068481,34.43799591,
66.18735504,32.61074829,
66.20401764,32.91184998,
66.22068787,33.22376251,
66.23735046,34.49346924,
66.25402069,35.03017044,
66.27068329,34.34890747,
66.28735352,35.33086395,
66.30402374,34.74394226,
66.32068634,33.73587036,
66.33735657,34.63307953,
66.35401917,33.61752701,
66.37068939,34.69974899,
66.38735199,33.64945984,
66.40402222,35.71876526,
66.42068481,34.64241791,
66.43735504,35.24027252,
66.45401764,35.06489563,
66.47068787,35.76102448,
66.48735046,34.925457,
66.50402069,34.68141937,
66.52068329,35.19052124,
66.53735352,35.53338623,
66.55402374,35.34520721,
66.57068634,35.36048508,
66.58735657,35.33381271,
66.60401917,35.36351013,
66.62068939,35.94001007,
66.63735199,35.69755554,
66.65402222,36.33215714,
66.67068481,35.07288361,
66.68735504,37.17293167,
66.70401764,35.86912155,
66.72068787,36.82182693,
66.73735046,35.90691757,
66.75402069,36.23929214,
66.77068329,37.56084061,
66.78735352,36.38228607,
